#VERSION 2
#CUTPLANS
{67d34453-9a73-4265-9470-98573b738897};2;P;825;MAT-S-694;{7c4a588e-6e8f-488f-b5be-6efb978b91c1};290
{67d34453-9a73-4265-9470-98573b738897};3;K;2;KERF;{7c4a588e-6e8f-488f-b5be-6efb978b91c1};290
{67d34453-9a73-4265-9470-98573b738897};4;P;1055;MAT-S-695;{ee088972-2146-403e-8dc5-450aaf73018a};292
{67d34453-9a73-4265-9470-98573b738897};5;K;2;KERF;{ee088972-2146-403e-8dc5-450aaf73018a};292
{67d34453-9a73-4265-9470-98573b738897};6;P;2295;MAT-S-696;{d92a2a5b-f47c-45fe-930d-f8f5fd19475e};293
{67d34453-9a73-4265-9470-98573b738897};7;K;2;KERF;{d92a2a5b-f47c-45fe-930d-f8f5fd19475e};293
{67d34453-9a73-4265-9470-98573b738897};8;P;950;MAT-S-697;{6c19e1a5-d823-40bf-a5a7-4821aac22818};294
{67d34453-9a73-4265-9470-98573b738897};9;K;2;KERF;{6c19e1a5-d823-40bf-a5a7-4821aac22818};294
{67d34453-9a73-4265-9470-98573b738897};10;P;205;MAT-S-698;{d08f53e9-c8ab-4f13-bdc1-ec27bf846a03};297
{67d34453-9a73-4265-9470-98573b738897};11;K;2;KERF;{d08f53e9-c8ab-4f13-bdc1-ec27bf846a03};297
{67d34453-9a73-4265-9470-98573b738897};12;P;605;MAT-S-699;{1222fd2d-fc29-4ada-8011-6d9af03fb814};298
{67d34453-9a73-4265-9470-98573b738897};13;K;2;KERF;{1222fd2d-fc29-4ada-8011-6d9af03fb814};298
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};2;P;970;MAT-S-702;{01d428d4-7abb-4af2-8dc8-deb4ca6afb6f};290
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};3;K;3.2;KERF;{01d428d4-7abb-4af2-8dc8-deb4ca6afb6f};290
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};4;P;1200;MAT-S-703;{d7264779-5215-4195-ae2e-0ddc9edc02ed};292
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};5;K;3.2;KERF;{d7264779-5215-4195-ae2e-0ddc9edc02ed};292
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};6;P;2440;MAT-S-704;{bb4905f2-68f9-4f8c-bbb1-dd1b49d80e7a};293
