#VERSION 2
#CUTPLANS
{bb9277a3-aa1d-4bb3-a6c1-43e4cddd2ef6};0;P;1232;MAT-CM-736;{cef8f3f1-e435-44ff-a03a-3b28bdd56cce};230
{bb9277a3-aa1d-4bb3-a6c1-43e4cddd2ef6};1;K;3.2;KERF;{cef8f3f1-e435-44ff-a03a-3b28bdd56cce};230
{bb9277a3-aa1d-4bb3-a6c1-43e4cddd2ef6};2;P;1557;MAT-CM-737;{1a6d479d-e46e-463a-9ffa-242110d4f8a8};232
{bb9277a3-aa1d-4bb3-a6c1-43e4cddd2ef6};3;K;3.2;KERF;{1a6d479d-e46e-463a-9ffa-242110d4f8a8};232
{e37a12a5-200b-4943-951e-3098ddee6353};0;P;1647;MAT-CM-739;{8efc5fcc-df4a-40dd-a21e-9bb219c0abf2};223
{e37a12a5-200b-4943-951e-3098ddee6353};1;K;3.2;KERF;{8efc5fcc-df4a-40dd-a21e-9bb219c0abf2};223
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};2;P;2462;MAT-CM-742;{0418ae66-b716-4502-b8cd-9f1b16af8c3d};230
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};3;K;3.2;KERF;{0418ae66-b716-4502-b8cd-9f1b16af8c3d};230
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};4;P;2462;MAT-CM-743;{0aad4e1b-859e-43dd-846f-de890b66136f};231
{d1d3c43f-f7c7-4ea6-b444-f705a5c8298d};5;K;3.2;KERF;{0aad4e1b-859e-43dd-846f-de890b66136f};231
{bc542a73-22ac-415d-a831-4b1db1e7d536};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{bc542a73-22ac-415d-a831-4b1db1e7d536};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bc542a73-22ac-415d-a831-4b1db1e7d536};2;P;2462;MAT-CM-745;{c6362636-31c1-4730-8814-aa9f66f16929};232
{bc542a73-22ac-415d-a831-4b1db1e7d536};3;K;3.2;KERF;{c6362636-31c1-4730-8814-aa9f66f16929};232
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};2;P;2462;MAT-CM-748;{f1e126bd-4900-4eba-a116-6eaf35403ba4};230
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};3;K;3.2;KERF;{f1e126bd-4900-4eba-a116-6eaf35403ba4};230
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};4;P;2462;MAT-CM-749;{e9f0d2fc-7f86-4b29-b1a7-1b742b31541a};231
{708ab7d2-8633-4bd6-b9ce-6f8b6fb34d58};5;K;3.2;KERF;{e9f0d2fc-7f86-4b29-b1a7-1b742b31541a};231
{8997fa10-7cc0-4e46-b57e-113782c22696};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8997fa10-7cc0-4e46-b57e-113782c22696};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8997fa10-7cc0-4e46-b57e-113782c22696};2;P;2462;MAT-CM-751;{891b864b-4064-42cc-a30c-184063545f81};232
{8997fa10-7cc0-4e46-b57e-113782c22696};3;K;3.2;KERF;{891b864b-4064-42cc-a30c-184063545f81};232
{b74f464c-7d3b-41ec-96c8-9208b8b67404};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{b74f464c-7d3b-41ec-96c8-9208b8b67404};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b74f464c-7d3b-41ec-96c8-9208b8b67404};2;P;2462;MAT-CM-754;{a018d38e-cec5-4cda-85df-50cf2adf73f6};230
{b74f464c-7d3b-41ec-96c8-9208b8b67404};3;K;3.2;KERF;{a018d38e-cec5-4cda-85df-50cf2adf73f6};230
{b74f464c-7d3b-41ec-96c8-9208b8b67404};4;P;2462;MAT-CM-755;{67ea10f9-1771-4d2e-b963-b0f39a645d12};231
{b74f464c-7d3b-41ec-96c8-9208b8b67404};5;K;3.2;KERF;{67ea10f9-1771-4d2e-b963-b0f39a645d12};231
{757ddbab-7db3-44b4-9508-81dc3879e055};0;P;1194;MAT-CM-757;{0f694309-2605-4c6e-9338-9ee2499da130};231
{757ddbab-7db3-44b4-9508-81dc3879e055};1;K;2;KERF;{0f694309-2605-4c6e-9338-9ee2499da130};231
{5084235e-49fa-49a9-881b-ee4eb6f1ba22};0;P;1182;MAT-CM-759;{76bd49df-8d01-4516-a223-d2106b749eef};231
{5084235e-49fa-49a9-881b-ee4eb6f1ba22};1;K;3.2;KERF;{76bd49df-8d01-4516-a223-d2106b749eef};231
{9f2a1641-5467-466b-a1ba-19404afbb6bc};0;P;1180;MAT-CM-761;{eb926c17-edaa-4192-9d76-097594fb3ded};230
{9f2a1641-5467-466b-a1ba-19404afbb6bc};1;K;2;KERF;{eb926c17-edaa-4192-9d76-097594fb3ded};230
{84e5805f-1b4d-4089-b9eb-6645c31fc30c};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{84e5805f-1b4d-4089-b9eb-6645c31fc30c};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{84e5805f-1b4d-4089-b9eb-6645c31fc30c};2;P;3109;MAT-CM-764;{8141727a-e063-410a-84ef-0fcb5cf45127};223
{84e5805f-1b4d-4089-b9eb-6645c31fc30c};3;K;2;KERF;{8141727a-e063-410a-84ef-0fcb5cf45127};223
{8226dabb-0e1b-43d3-9f4d-84dce64bad8b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8226dabb-0e1b-43d3-9f4d-84dce64bad8b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8226dabb-0e1b-43d3-9f4d-84dce64bad8b};2;P;1675;MAT-CM-767;{f6fe2a83-b15f-404f-b1af-f28e8c15be07};232
{8226dabb-0e1b-43d3-9f4d-84dce64bad8b};3;K;3.2;KERF;{f6fe2a83-b15f-404f-b1af-f28e8c15be07};232
{5ef323e9-5595-4cc7-b89f-a380b7cd9274};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{5ef323e9-5595-4cc7-b89f-a380b7cd9274};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{5ef323e9-5595-4cc7-b89f-a380b7cd9274};2;P;1650;MAT-CM-770;{01fcda7b-4809-41dc-80f9-4b00297be113};232
{5ef323e9-5595-4cc7-b89f-a380b7cd9274};3;K;3.2;KERF;{01fcda7b-4809-41dc-80f9-4b00297be113};232
{6f6668aa-4f36-445c-ae94-8d150df765e5};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6f6668aa-4f36-445c-ae94-8d150df765e5};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6f6668aa-4f36-445c-ae94-8d150df765e5};2;P;3097;MAT-CM-773;{0bce26f9-b84b-48d9-9090-944cb37367f5};223
{6f6668aa-4f36-445c-ae94-8d150df765e5};3;K;3.2;KERF;{0bce26f9-b84b-48d9-9090-944cb37367f5};223
{6adc38a5-9ba2-4605-a2e0-4b4ddfb34fa1};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{6adc38a5-9ba2-4605-a2e0-4b4ddfb34fa1};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6adc38a5-9ba2-4605-a2e0-4b4ddfb34fa1};2;P;2462;MAT-CM-776;{45f4ce45-06f4-4a0e-80c9-7d616c76c2e5};232
{6adc38a5-9ba2-4605-a2e0-4b4ddfb34fa1};3;K;3.2;KERF;{45f4ce45-06f4-4a0e-80c9-7d616c76c2e5};232
#PIECES
{be183ab8-00df-4f98-9863-bf71a9e29700};{d43adfc9-b60f-4c44-b6e4-d8d8dfd0c1b8};3000;NP-BAR22-3000;223
{7ac97af4-85a4-42a5-9ee3-2513a941ed1c};{6e222ecf-51c3-4fe2-8570-87ad6c5d43f2};1000;NP-BAR22-3000;231
{4da89512-b98c-4924-b345-a4f7e6409db9};{92c46751-d5b3-418e-8abe-65ac3f4f1cc2};1330;NP-BAR22-3000;232
{fd18cde1-7f35-42a0-bedb-2a869aafce1c};{496ede2f-ea09-417e-8534-dcfd3b8e1606};1647;NP-CL;223
{dcffcc7a-76a3-4231-8492-190346cdc4c2};{c150c3d0-db71-4634-b2b5-af4d468d1f75};45;NP-BAR22-3000;223
{dcffcc7a-76a3-4231-8492-190346cdc4c2};{0e926fec-f191-4e77-b03b-e5e1e0ecd52b};100;NP-BAR22-3000;231
{dcffcc7a-76a3-4231-8492-190346cdc4c2};{db113b5e-ebb1-48b2-8f4e-570c65a386f1};145;NP-BAR22-3000;232
{649e2f47-8439-4aed-8cfa-caa852569c52};{2ba04905-d1e4-4664-a34f-49884fb7c695};1244;NP-ROLL70-5000;230
{649e2f47-8439-4aed-8cfa-caa852569c52};{12b3790d-1f33-4cb7-ae30-04bb751dd972};1569;NP-ROLL70-5000;232
{fdd61633-404f-4932-8313-a6ac105fe9dd};{c961434c-8397-43d9-be20-0338697014df};3215;NP-TF;223
{fdd61633-404f-4932-8313-a6ac105fe9dd};{397f5d1b-605f-4a71-95d5-50dff14820d3};1350;NP-TF;230
{fdd61633-404f-4932-8313-a6ac105fe9dd};{8dea88c8-d7e8-45bd-83b0-6f438586d91d};1300;NP-TF;231
{b8286cbf-c696-4f99-9899-59a831793d83};{77859cc6-ddc8-4469-b97d-83bbcb1b1358};3190;NP-T;223
