#VERSION 2
#CUTPLANS
{06f2f4ec-e812-4a7b-921c-9031517fd566};47;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-561;39163732;;RSM-561;1305
{0079e28e-b09f-4797-9363-02b46a987cb2};0;P;1560;MAT-P-107;{1969afd5-343d-4e7c-9779-e3be7db52770};204
{0079e28e-b09f-4797-9363-02b46a987cb2};1;K;2;KERF;{1969afd5-343d-4e7c-9779-e3be7db52770};204
{d01c01b4-6153-4981-b8fd-7a8e47347f86};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{d01c01b4-6153-4981-b8fd-7a8e47347f86};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{d01c01b4-6153-4981-b8fd-7a8e47347f86};2;P;2495;MAT-P-110;{e9be9ef3-8d4a-4a84-afa0-12c1b80fe421};192
{d01c01b4-6153-4981-b8fd-7a8e47347f86};3;K;3.2;KERF;{e9be9ef3-8d4a-4a84-afa0-12c1b80fe421};192
{d01c01b4-6153-4981-b8fd-7a8e47347f86};4;P;2915;MAT-P-111;{be5af2c1-74e9-4664-8f1e-19a8e7280c0a};209
{d01c01b4-6153-4981-b8fd-7a8e47347f86};5;K;3.2;KERF;{be5af2c1-74e9-4664-8f1e-19a8e7280c0a};209
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};2;P;1640;MAT-P-114;{3ee71aa9-e8b7-45a6-987c-6d6925e7f3a7};204
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};3;K;3.2;KERF;{3ee71aa9-e8b7-45a6-987c-6d6925e7f3a7};204
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};4;P;1510;MAT-P-115;{f5110567-abb2-47f1-ba67-f366e643e8db};206
{e5b9a82d-1f69-4fc9-9e3d-96b9ff41742d};5;K;3.2;KERF;{f5110567-abb2-47f1-ba67-f366e643e8db};206
{234cd429-7039-4386-b036-a3b084cac1f3};0;P;2822;MAT-P-117;{7b4387c6-5776-477b-8e3d-bb3e21708f06};209
{234cd429-7039-4386-b036-a3b084cac1f3};1;K;3.2;KERF;{7b4387c6-5776-477b-8e3d-bb3e21708f06};209
{ec142f58-5c99-4a84-97bc-b6255b240102};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{ec142f58-5c99-4a84-97bc-b6255b240102};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
