#VERSION 2
#CUTPLANS
{74b60e79-c364-493a-b506-86be59ddfdf8};0;P;1647;MAT-CM-075;{3b5a7fec-4ba5-44fd-a763-ce11936482d3};223
{74b60e79-c364-493a-b506-86be59ddfdf8};1;K;3.2;KERF;{3b5a7fec-4ba5-44fd-a763-ce11936482d3};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};0;P;45;MAT-CM-077;{4028f343-8d28-44b9-8071-ecc23b6d6e91};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};1;K;2;KERF;{4028f343-8d28-44b9-8071-ecc23b6d6e91};223
{ea639618-fa72-4a41-a696-74040f9c6dd0};2;P;100;MAT-CM-078;{dc18bb3b-b782-4374-8d73-198fe0c0a24c};231
{ea639618-fa72-4a41-a696-74040f9c6dd0};3;K;2;KERF;{dc18bb3b-b782-4374-8d73-198fe0c0a24c};231
{ea639618-fa72-4a41-a696-74040f9c6dd0};4;P;145;MAT-CM-079;{988cd8e8-c598-4848-ac2a-fd8558ccd36f};232
{ea639618-fa72-4a41-a696-74040f9c6dd0};5;K;2;KERF;{988cd8e8-c598-4848-ac2a-fd8558ccd36f};232
{db26de2e-ad04-4759-a20f-fe34b0052dd8};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{db26de2e-ad04-4759-a20f-fe34b0052dd8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{db26de2e-ad04-4759-a20f-fe34b0052dd8};2;P;2462;MAT-CM-082;{2c1a7730-a476-4973-ad2d-e95b8ff1eecc};230
{db26de2e-ad04-4759-a20f-fe34b0052dd8};3;K;3.2;KERF;{2c1a7730-a476-4973-ad2d-e95b8ff1eecc};230
{db26de2e-ad04-4759-a20f-fe34b0052dd8};4;P;2462;MAT-CM-083;{d23fde6b-1e70-45ef-a1ce-fa00749c73a0};231
{db26de2e-ad04-4759-a20f-fe34b0052dd8};5;K;3.2;KERF;{d23fde6b-1e70-45ef-a1ce-fa00749c73a0};231
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};2;P;2462;MAT-CM-086;{052054de-4837-4786-8a26-c940d9874b32};230
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};3;K;3.2;KERF;{052054de-4837-4786-8a26-c940d9874b32};230
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};4;P;2462;MAT-CM-087;{9dc5ef27-21f4-452d-8d04-022fcb9aae3a};231
{65c7e273-b3b5-4f61-baf4-4356c75a6d1e};5;K;3.2;KERF;{9dc5ef27-21f4-452d-8d04-022fcb9aae3a};231
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};2;P;2462;MAT-CM-089;{5ceed3ad-76d5-4497-b117-76d352378afd};232
{8c59833c-b45a-42d1-8a6d-51b1c8291bbd};3;K;3.2;KERF;{5ceed3ad-76d5-4497-b117-76d352378afd};232
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};2;P;2462;MAT-CM-092;{c0cc6405-8f4c-45f5-aa91-47f62c1f0821};230
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};3;K;3.2;KERF;{c0cc6405-8f4c-45f5-aa91-47f62c1f0821};230
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};4;P;2462;MAT-CM-093;{eed20836-c89c-4b3c-a031-f1e3a3e0ef17};231
{b6b0afa7-7800-499d-a0ce-1aeb735d0361};5;K;3.2;KERF;{eed20836-c89c-4b3c-a031-f1e3a3e0ef17};231
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};2;P;2462;MAT-CM-095;{b9092dc6-7680-4c81-aae6-ae48e6fa97db};232
{ded7d963-f144-41dc-8a2d-503b5e9fb9b4};3;K;3.2;KERF;{b9092dc6-7680-4c81-aae6-ae48e6fa97db};232
{7159241d-7fbd-4817-865f-358f6b541f9a};0;P;1182;MAT-CM-097;{f06a8788-d6e5-4cdc-8826-24e1641d8b81};231
{7159241d-7fbd-4817-865f-358f6b541f9a};1;K;3.2;KERF;{f06a8788-d6e5-4cdc-8826-24e1641d8b81};231
{de6bbe98-e5e9-430b-974d-0df9533fdd26};0;P;1194;MAT-CM-099;{8c5c0ee4-8612-43d5-a807-01682bc71a10};231
{de6bbe98-e5e9-430b-974d-0df9533fdd26};1;K;2;KERF;{8c5c0ee4-8612-43d5-a807-01682bc71a10};231
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};2;P;2462;MAT-CM-102;{cf983a79-72dc-4cfa-b3d2-613c17d99607};232
{04eeb4a6-19b1-4e4b-90c8-01f0b34a9017};3;K;3.2;KERF;{cf983a79-72dc-4cfa-b3d2-613c17d99607};232
{f04a9291-9eef-490f-af91-f1f69abdefa6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f04a9291-9eef-490f-af91-f1f69abdefa6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f04a9291-9eef-490f-af91-f1f69abdefa6};2;P;1650;MAT-CM-105;{30dd202c-b052-4d99-bef3-6319e2eabac2};232
{f04a9291-9eef-490f-af91-f1f69abdefa6};3;K;3.2;KERF;{30dd202c-b052-4d99-bef3-6319e2eabac2};232
{e714429f-1e9c-4ade-970f-be7b87449a7f};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{e714429f-1e9c-4ade-970f-be7b87449a7f};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e714429f-1e9c-4ade-970f-be7b87449a7f};2;P;3097;MAT-CM-108;{a64105ec-00a7-49f5-90b8-7bcb7506014d};223
{e714429f-1e9c-4ade-970f-be7b87449a7f};3;K;3.2;KERF;{a64105ec-00a7-49f5-90b8-7bcb7506014d};223
