#VERSION 2
#CUTPLANS
{3a853685-bfdd-4f13-ac09-51edc415d279};4;P;2545;MAT-U-464;{0e8722f3-a2db-44a7-aed3-1b2cea20da3f};305
{3a853685-bfdd-4f13-ac09-51edc415d279};5;K;2;KERF;{0e8722f3-a2db-44a7-aed3-1b2cea20da3f};305
{c164bad0-7849-4dfc-8600-5a373529cad0};0;P;2029;MAT-U-466;{6ba71828-7c6b-4fed-a3f8-11cae2510ef7};303
{c164bad0-7849-4dfc-8600-5a373529cad0};1;K;2;KERF;{6ba71828-7c6b-4fed-a3f8-11cae2510ef7};303
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};2;P;2110;MAT-U-470;{bcb8df75-8af5-45c6-ab9b-2cb2fcb6ad0a};303
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};3;K;3.2;KERF;{bcb8df75-8af5-45c6-ab9b-2cb2fcb6ad0a};303
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};4;P;2690;MAT-U-471;{51104d92-3698-43f7-9aae-ec991ff22c85};305
{74e6fba8-f77a-4bb5-8f9f-5dc634bc8760};5;K;3.2;KERF;{51104d92-3698-43f7-9aae-ec991ff22c85};305
{b51abbc6-e089-48f6-8d51-837c7d6cc7a9};0;P;2715;MAT-U-473;{8bd69373-fe24-4f8b-ae2c-674521ed6396};305
{b51abbc6-e089-48f6-8d51-837c7d6cc7a9};1;K;3.2;KERF;{8bd69373-fe24-4f8b-ae2c-674521ed6396};305
{29466e78-8b5a-43e5-aed6-5ec3dc5584a3};0;P;1377;MAT-U-475;{f3b8ad25-5253-49c2-bb7f-d90453015339};301
{29466e78-8b5a-43e5-aed6-5ec3dc5584a3};1;K;3.2;KERF;{f3b8ad25-5253-49c2-bb7f-d90453015339};301
{f0c3b9ea-5f41-4e05-9990-0c89aa70887c};0;P;1979;MAT-U-477;{e1374071-77c2-4ac0-94e9-fe6194830272};302
