#VERSION 2
#CUTPLANS
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};2;P;995;MAT-CS-279;{d9b82102-8d28-4f53-a011-4fdb3de64853};290
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};3;K;3.2;KERF;{d9b82102-8d28-4f53-a011-4fdb3de64853};290
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};4;P;2430;MAT-CS-280;{47a3459c-1d82-4a8a-a291-b0de25d47046};291
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};5;K;3.2;KERF;{47a3459c-1d82-4a8a-a291-b0de25d47046};291
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};6;P;2465;MAT-CS-281;{3e65eeab-a693-4f1b-b33d-f1b9c2162916};293
{0ea65385-4e7c-4292-a27c-7b054e8b7d7d};7;K;3.2;KERF;{3e65eeab-a693-4f1b-b33d-f1b9c2162916};293
{78e67a62-5940-4d7e-ad4b-7119239817ee};0;P;950;MAT-CS-283;{c925856c-065a-4d31-822a-d8db993b2eab};294
{78e67a62-5940-4d7e-ad4b-7119239817ee};1;K;2;KERF;{c925856c-065a-4d31-822a-d8db993b2eab};294
{8e0bcf5b-9cba-4c9f-aacd-9b1ede21d3d5};0;P;1819;MAT-CS-285;{fcf85f03-7d70-4cd9-b4e9-616f2df1f7e4};297
{8e0bcf5b-9cba-4c9f-aacd-9b1ede21d3d5};1;K;2;KERF;{fcf85f03-7d70-4cd9-b4e9-616f2df1f7e4};297
{0a579b58-1308-4bd0-ad8b-e55af2171d64};0;P;1807;MAT-CS-287;{2640dbce-7068-4f7a-bb94-778f83aaba31};297
{0a579b58-1308-4bd0-ad8b-e55af2171d64};1;K;3.2;KERF;{2640dbce-7068-4f7a-bb94-778f83aaba31};297
{abc5c483-e275-4f33-be4f-3b73e6c639a4};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{abc5c483-e275-4f33-be4f-3b73e6c639a4};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{abc5c483-e275-4f33-be4f-3b73e6c639a4};2;P;2162;MAT-CS-290;{eaf347b5-e2c0-4a7d-9b0a-dced1e2436ba};292
{abc5c483-e275-4f33-be4f-3b73e6c639a4};3;K;3.2;KERF;{eaf347b5-e2c0-4a7d-9b0a-dced1e2436ba};292
{abc5c483-e275-4f33-be4f-3b73e6c639a4};4;P;2162;MAT-CS-291;{5eaacab2-d761-4227-bb6e-b73fd19721aa};293
{abc5c483-e275-4f33-be4f-3b73e6c639a4};5;K;3.2;KERF;{5eaacab2-d761-4227-bb6e-b73fd19721aa};293
{abc5c483-e275-4f33-be4f-3b73e6c639a4};6;P;2162;MAT-CS-292;{6fc673d9-11f6-470f-b9c7-a9ede892570f};294
{abc5c483-e275-4f33-be4f-3b73e6c639a4};7;K;3.2;KERF;{6fc673d9-11f6-470f-b9c7-a9ede892570f};294
{f20ca8af-76dc-4680-8cde-39fc0a99ec86};0;P;1055;MAT-CS-294;{90e73332-4d95-44b4-bb17-1f43ab8a8ad1};292
{f20ca8af-76dc-4680-8cde-39fc0a99ec86};1;K;2;KERF;{90e73332-4d95-44b4-bb17-1f43ab8a8ad1};292
{5a6b8a8d-9766-4110-8293-8b822d609610};0;P;1119;MAT-CS-296;{c796bb4f-240b-49b4-bd87-0295ab124ebc};292
{5a6b8a8d-9766-4110-8293-8b822d609610};1;K;2;KERF;{c796bb4f-240b-49b4-bd87-0295ab124ebc};292
