#VERSION 2
#CUTPLANS
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};3;K;3.2;KERF;{95fa028c-cc08-4790-8806-cf4be3c03216};223
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};4;P;1325;MAT-CN-163;{cba2c8d4-1baf-4f13-ba03-45c0330dc33f};230
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};5;K;3.2;KERF;{cba2c8d4-1baf-4f13-ba03-45c0330dc33f};230
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};6;P;1275;MAT-CN-164;{3a50e056-7607-42d4-a74e-47205f365468};231
{a8cff64b-1f2b-4325-8845-7dac4a4ee131};7;K;3.2;KERF;{3a50e056-7607-42d4-a74e-47205f365468};231
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};0;P;1244;MAT-CN-166;{ce0783b7-a6a0-4fa7-8979-56925e0c2f9f};230
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};1;K;2;KERF;{ce0783b7-a6a0-4fa7-8979-56925e0c2f9f};230
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};2;P;1569;MAT-CN-167;{ae213235-13ff-418e-9cd8-ec8531096c98};232
{bfda4826-fd4a-48ee-9adb-f92f224de3a3};3;K;2;KERF;{ae213235-13ff-418e-9cd8-ec8531096c98};232
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};2;P;1647;MAT-CN-170;{2fb96c0a-f5a1-45e2-b5ab-f3a1aa0b2199};223
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};3;K;3.2;KERF;{2fb96c0a-f5a1-45e2-b5ab-f3a1aa0b2199};223
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};4;P;2462;MAT-CN-171;{2c7dc81e-808e-48c1-b8c9-ad8b548416e5};230
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};5;K;3.2;KERF;{2c7dc81e-808e-48c1-b8c9-ad8b548416e5};230
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};6;P;2462;MAT-CN-172;{4a5ac127-1963-4833-8151-12507916c584};231
{8c268f0f-a3c3-457e-ba70-1a40c760d6c2};7;K;3.2;KERF;{4a5ac127-1963-4833-8151-12507916c584};231
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};2;P;3097;MAT-CN-175;{cd3ae364-a266-480b-ba0b-4ce64da7d891};223
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};3;K;3.2;KERF;{cd3ae364-a266-480b-ba0b-4ce64da7d891};223
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};4;P;1182;MAT-CN-176;{f0491a39-7262-43a3-b700-3888b25f36d0};231
{254aac32-9546-46e8-bd58-c7e94fd1d2f2};5;K;3.2;KERF;{f0491a39-7262-43a3-b700-3888b25f36d0};231
{66b0c1d8-852f-4701-80a7-cbef669ac26f};0;P;1194;MAT-CN-178;{cd18e1ca-c3ff-47a4-9e5c-32f621154a1d};231
{66b0c1d8-852f-4701-80a7-cbef669ac26f};1;K;2;KERF;{cd18e1ca-c3ff-47a4-9e5c-32f621154a1d};231
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};2;P;1675;MAT-CN-181;{283bb785-2144-4b5d-bd82-fe703ae4b879};232
{8b8258b8-9b87-40b7-bb86-f6b296f7db2e};3;K;3.2;KERF;{283bb785-2144-4b5d-bd82-fe703ae4b879};232
{065b4d05-512d-4dff-ad29-f59dbf411b6f};0;P;1180;MAT-CN-183;{6474d07a-3ba9-4b4f-8b89-aa92543611a9};230
{065b4d05-512d-4dff-ad29-f59dbf411b6f};1;K;2;KERF;{6474d07a-3ba9-4b4f-8b89-aa92543611a9};230
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};2;P;1650;MAT-CN-186;{c845c0b6-1332-4405-8afe-4acc933025e0};232
{f7ebc4af-f7d3-4713-87ac-3483b4a13922};3;K;3.2;KERF;{c845c0b6-1332-4405-8afe-4acc933025e0};232
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};2;P;3109;MAT-CN-189;{5de94469-5d23-4bf5-a0ec-d19699f07336};223
{99ec6aab-9db3-4ad6-b65a-f17f5de12bde};3;K;2;KERF;{5de94469-5d23-4bf5-a0ec-d19699f07336};223
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};2;P;2462;MAT-CN-192;{fdb83f39-1fba-428b-80cc-723ee8a9b5c8};232
{a535e25c-6044-4ce6-8c3e-c72cee7a3de6};3;K;3.2;KERF;{fdb83f39-1fba-428b-80cc-723ee8a9b5c8};232
#PIECES
{6531c17d-ffac-4082-9930-95fb242f624e};{51414d60-0cb0-4a4e-b19a-c8ac63a7e1a3};3000;NP-BAR22-3000;223
{4b56a37e-657d-4e71-a86c-ca4136528c59};{71993b81-be4d-4f2a-8669-1309511cd1c8};1000;NP-BAR22-3000;231
{4f9f92d2-ff07-475e-9a9c-1c16ba304e6e};{5f42bf38-acaa-4639-86dd-4d5216330705};1330;NP-BAR22-3000;232
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};{c2b89715-e9a0-40a6-8c02-84c81320e3a9};3215;NP-TF;223
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};{a47a122a-c0b9-4b6e-b54b-4340bf670f80};1350;NP-TF;230
{088b62ad-8ca7-49a9-b1e2-e754b06bf1a8};{48c8161b-b402-4466-9159-f21a973a3764};1300;NP-TF;231
{11f44652-7415-4b40-9770-1dce877d1877};{bd8686d8-423a-4ed0-af6f-e2f01fe21691};1232;NP-CZ;230
