#VERSION 2
#CUTPLANS
{c80223f0-4380-473f-ac0a-825c37a27b8e};0;NOT_STARTED;Rod-A;SR-T;CM2;3.2;REUSABLE;RSM-877;1;;RSM-877;4524
{9b937c0e-9cc8-46e6-8497-bf62c8ea684b};1;NOT_STARTED;Rod-B;SR-Z+P;CM2;3.2;STOCK;MAT-CR-224;1;;MAT-CR-224;6000
{07f308e5-57e7-4f28-8cad-0ffac53832d4};2;NOT_STARTED;Rod-C;TE-H-32;CM2;3.2;REUSABLE;RSM-172;1;;RSM-172;3500
{6a80ea52-8c54-4428-b5e8-5d0cc7e75955};0;P;847;MAT-CR-235;{8ceccbdc-54b1-4050-8b7c-2875ed2f99b0};632
{6a80ea52-8c54-4428-b5e8-5d0cc7e75955};1;K;3.2;KERF;{8ceccbdc-54b1-4050-8b7c-2875ed2f99b0};632
{6a80ea52-8c54-4428-b5e8-5d0cc7e75955};2;P;1257;MAT-CR-236;{385cf27d-d451-413b-b118-8f0b59f31ca8};635
{6a80ea52-8c54-4428-b5e8-5d0cc7e75955};3;K;3.2;KERF;{385cf27d-d451-413b-b118-8f0b59f31ca8};635
{9b8a3c28-ca95-4e2f-b288-5c070630ba23};0;P;1594;MAT-CR-237;{d64411a1-66c0-4ca9-8229-999ddde79d32};640
{9b8a3c28-ca95-4e2f-b288-5c070630ba23};1;K;3.2;KERF;{d64411a1-66c0-4ca9-8229-999ddde79d32};640
{17173da5-8ab4-43dd-adce-e2ca614b92ec};0;P;894;MAT-CR-243;{669fd5cc-8518-4ec0-9828-6430241cac14};630 1/2
{17173da5-8ab4-43dd-adce-e2ca614b92ec};1;K;3.2;KERF;{669fd5cc-8518-4ec0-9828-6430241cac14};630 1/2
{019efbbc-4cef-456e-8fa0-cdc046734c65};0;P;957;MAT-CR-245;{4a958de3-cae4-45bf-8bb1-42570abe7595};638
{019efbbc-4cef-456e-8fa0-cdc046734c65};1;K;3.2;KERF;{4a958de3-cae4-45bf-8bb1-42570abe7595};638
