#VERSION 2
#CUTPLANS
{bd1c01ef-7f3b-4913-b709-d41f554f3b67};25;NOT_STARTED;Rod-B;NP-BAR12-4000;CM1;0;REUSABLE;RSM-478;35895364;;RSM-478;2195
{8506feed-c793-497f-be7b-f94358b2eb73};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{8506feed-c793-497f-be7b-f94358b2eb73};2;P;2497;MAT-N-015;{f1a26bcc-1776-4f4c-b49d-d81fe2ac0012};127
{8506feed-c793-497f-be7b-f94358b2eb73};3;K;3.2;KERF;{f1a26bcc-1776-4f4c-b49d-d81fe2ac0012};127
{8506feed-c793-497f-be7b-f94358b2eb73};4;P;2497;MAT-N-016;{c66edec6-2805-4a64-8420-b195af4f3a78};139
{8506feed-c793-497f-be7b-f94358b2eb73};5;K;3.2;KERF;{c66edec6-2805-4a64-8420-b195af4f3a78};139
{216f9478-a671-4307-befb-cd4c0360da53};0;P;2464;MAT-N-018;{8001c06f-7c5b-461f-94db-d1de8ff87d61};133
{216f9478-a671-4307-befb-cd4c0360da53};1;K;2;KERF;{8001c06f-7c5b-461f-94db-d1de8ff87d61};133
{723f3362-d057-4f92-868e-9b33b00fa4a9};0;P;2497;MAT-N-020;{37552a5c-96d5-47d8-874f-39d3a5092448};127
{723f3362-d057-4f92-868e-9b33b00fa4a9};1;K;3.2;KERF;{37552a5c-96d5-47d8-874f-39d3a5092448};127
{ba8a9207-39b7-46ad-9d09-0bd46650539e};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ba8a9207-39b7-46ad-9d09-0bd46650539e};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ba8a9207-39b7-46ad-9d09-0bd46650539e};2;P;3845;MAT-N-023;{d4043deb-7695-48fa-96c4-083d524bcacb};127
{ba8a9207-39b7-46ad-9d09-0bd46650539e};3;K;3.2;KERF;{d4043deb-7695-48fa-96c4-083d524bcacb};127
{bc6b7cf4-9514-4968-afbb-2f16908bb607};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{bc6b7cf4-9514-4968-afbb-2f16908bb607};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{bc6b7cf4-9514-4968-afbb-2f16908bb607};2;P;3675;MAT-N-026;{578a259c-eeca-4b66-ac29-ccf7eb12ddd7};139
{bc6b7cf4-9514-4968-afbb-2f16908bb607};3;K;2;KERF;{578a259c-eeca-4b66-ac29-ccf7eb12ddd7};139
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};2;P;3727;MAT-N-029;{50f4b90f-d293-465b-a3ba-e60669b18fc9};127
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};3;K;3.2;KERF;{50f4b90f-d293-465b-a3ba-e60669b18fc9};127
{da4fba50-638a-457a-81c6-15751d254c4b};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{da4fba50-638a-457a-81c6-15751d254c4b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{da4fba50-638a-457a-81c6-15751d254c4b};2;P;3727;MAT-N-031;{2370d166-1428-4449-b47a-0c81dc68c32a};139
{da4fba50-638a-457a-81c6-15751d254c4b};3;K;3.2;KERF;{2370d166-1428-4449-b47a-0c81dc68c32a};139
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};2;P;3820;MAT-N-034;{8bd6e4cc-f648-4308-859a-128a2aa0f96f};127
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};3;K;3.2;KERF;{8bd6e4cc-f648-4308-859a-128a2aa0f96f};127
{5508f92b-a260-446e-8222-9c0ebde14f96};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5508f92b-a260-446e-8222-9c0ebde14f96};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5508f92b-a260-446e-8222-9c0ebde14f96};2;P;3739;MAT-N-037;{9da2d11a-da09-4777-983a-a7e9cc895bcb};139
{5508f92b-a260-446e-8222-9c0ebde14f96};3;K;2;KERF;{9da2d11a-da09-4777-983a-a7e9cc895bcb};139
{add3ea70-8841-4cb9-b13b-1c458c632543};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{add3ea70-8841-4cb9-b13b-1c458c632543};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{add3ea70-8841-4cb9-b13b-1c458c632543};2;P;2445;MAT-N-040;{83791cc7-ccd3-446f-b7c3-2f4350ff0b9a};133
{add3ea70-8841-4cb9-b13b-1c458c632543};3;K;3.2;KERF;{83791cc7-ccd3-446f-b7c3-2f4350ff0b9a};133
{e467be92-19e3-4070-b2db-6db400483d1b};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{e467be92-19e3-4070-b2db-6db400483d1b};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{e467be92-19e3-4070-b2db-6db400483d1b};2;P;2497;MAT-N-043;{c7b8bf70-770e-4e5d-8f9a-24352245561a};139
{e467be92-19e3-4070-b2db-6db400483d1b};3;K;3.2;KERF;{c7b8bf70-770e-4e5d-8f9a-24352245561a};139
{ab1cf741-796f-4831-863c-35dc8cfa01ac};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ab1cf741-796f-4831-863c-35dc8cfa01ac};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ab1cf741-796f-4831-863c-35dc8cfa01ac};2;P;3845;MAT-N-046;{225f9f98-0a51-4392-bef1-466c830627c5};139
{ab1cf741-796f-4831-863c-35dc8cfa01ac};3;K;3.2;KERF;{225f9f98-0a51-4392-bef1-466c830627c5};139
{b7a17679-ff32-4d4c-a24b-a300b6593512};0;P;180;MAT-N-048;{621bc918-b314-40fe-b7df-cd035a0c88db};133
{b7a17679-ff32-4d4c-a24b-a300b6593512};1;K;2;KERF;{621bc918-b314-40fe-b7df-cd035a0c88db};133
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};0;T;0;TECH;{00000000-0000-0000-0000-000000000000};
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};1;K;2;KERF;{00000000-0000-0000-0000-000000000000};
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};2;P;2125;MAT-N-051;{2499e436-953e-4d56-aef8-77b4f36e8b1a};148
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};3;K;2;KERF;{2499e436-953e-4d56-aef8-77b4f36e8b1a};148
{23f421ae-bbe7-4bae-a049-199236a21c56};0;P;2448;MAT-N-053;{e5207fa5-25df-4262-a3e5-e669e7c9d93a};133
{23f421ae-bbe7-4bae-a049-199236a21c56};1;K;3.2;KERF;{e5207fa5-25df-4262-a3e5-e669e7c9d93a};133
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};2;P;3820;MAT-N-056;{f7d138b2-4764-4a14-b33b-51ad2751e49e};139
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};3;K;3.2;KERF;{f7d138b2-4764-4a14-b33b-51ad2751e49e};139
#PIECES
{bd1c01ef-7f3b-4913-b709-d41f554f3b67};{b69847e1-ab41-4ea1-b7c3-4867d1e1dd82};2195;NP-BAR12-4000;133
{5161c3f7-4b87-4d81-b817-53c25406b9cb};{fb09afc0-ea5c-4123-ac25-882c2bd8680b};3739;NP-ROLL70-6000;127
{5161c3f7-4b87-4d81-b817-53c25406b9cb};{05a5bd35-3bdd-4c88-9a99-32c0aa93506c};2189;NP-ROLL70-6000;148
{1fc6b37a-62ef-403f-b209-5fdc91f83537};{842e3157-3465-48ea-9f77-5bae43c3edc9};2295;NP-TF-7016;148
{56324734-c612-49d2-8c5a-658825ca1f31};{77c6ad1f-9aca-4480-9eb5-b8b01c74edd8};2515;NP-T-7016;133
{56324734-c612-49d2-8c5a-658825ca1f31};{c044dc89-abf1-4d4e-bdc2-0e55aa850001};2270;NP-T-7016;148
{3e6d8b60-012e-4a2b-bb94-d4e9f67ac359};{b0b91d47-dff6-4110-917f-3ab0cd76b617};2597;NP-CLB;148
{ffce6f68-ea39-4640-8960-0bbcab9c34f8};{0fcf1a05-2b0d-496d-b5de-46a6ca718246};2515;NP-TF-7016;133
{b9ba2546-2d80-403c-9429-b263978cc622};{0816765d-58bf-4709-9ac0-b02dc75cba6f};3675;NP-BAR22-4000;127
{8d1fa7b5-c383-40d7-9c9f-9dd1f4881254};{4ce52465-2cc6-49ee-8741-383ac86643cf};2177;NP-CZ-7016;148
{4a768426-f009-4e30-a6ee-5a725eac10fa};{a24cfa4f-595b-4968-9d1f-867e5f32998a};2497;NP-CLT-7016;127
{4a768426-f009-4e30-a6ee-5a725eac10fa};{3291b89d-3805-4ee8-ba67-a9c16013e8cf};2597;NP-CLT-7016;148
{48329238-ceae-4d61-8963-8a9c75f4c4c5};{03306719-55f6-408c-a325-be32d103feb6};2497;NP-CLT-7016;139
{3df1af38-33f2-4739-8cb1-0018a001c204};{3b450bdc-7d80-4613-8d5b-2b35ec205b8d};2597;NP-CL-7016;148
{8506feed-c793-497f-be7b-f94358b2eb73};{f1a26bcc-1776-4f4c-b49d-d81fe2ac0012};2497;NP-CL-7016;127
{8506feed-c793-497f-be7b-f94358b2eb73};{c66edec6-2805-4a64-8420-b195af4f3a78};2497;NP-CL-7016;139
{216f9478-a671-4307-befb-cd4c0360da53};{8001c06f-7c5b-461f-94db-d1de8ff87d61};2464;NP-ROLL70-6000;133
{723f3362-d057-4f92-868e-9b33b00fa4a9};{37552a5c-96d5-47d8-874f-39d3a5092448};2497;NP-CLB;127
{ba8a9207-39b7-46ad-9d09-0bd46650539e};{d4043deb-7695-48fa-96c4-083d524bcacb};3845;NP-TF-7016;127
{bc6b7cf4-9514-4968-afbb-2f16908bb607};{578a259c-eeca-4b66-ac29-ccf7eb12ddd7};3675;NP-BAR22-4000;139
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};{50f4b90f-d293-465b-a3ba-e60669b18fc9};3727;NP-CZ-7016;127
{da4fba50-638a-457a-81c6-15751d254c4b};{2370d166-1428-4449-b47a-0c81dc68c32a};3727;NP-CZ-7016;139
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};{8bd6e4cc-f648-4308-859a-128a2aa0f96f};3820;NP-T-7016;127
{5508f92b-a260-446e-8222-9c0ebde14f96};{9da2d11a-da09-4777-983a-a7e9cc895bcb};3739;NP-ROLL70-6000;139
{add3ea70-8841-4cb9-b13b-1c458c632543};{83791cc7-ccd3-446f-b7c3-2f4350ff0b9a};2445;NP-SZ-7016;133
{e467be92-19e3-4070-b2db-6db400483d1b};{c7b8bf70-770e-4e5d-8f9a-24352245561a};2497;NP-CLB;139
{ab1cf741-796f-4831-863c-35dc8cfa01ac};{225f9f98-0a51-4392-bef1-466c830627c5};3845;NP-TF-7016;139
{b7a17679-ff32-4d4c-a24b-a300b6593512};{621bc918-b314-40fe-b7df-cd035a0c88db};180;NP-BAR12-4000;133
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};{2499e436-953e-4d56-aef8-77b4f36e8b1a};2125;NP-BAR22-4000;148
{23f421ae-bbe7-4bae-a049-199236a21c56};{e5207fa5-25df-4262-a3e5-e669e7c9d93a};2448;NP-SL-7016;133
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};{f7d138b2-4764-4a14-b33b-51ad2751e49e};3820;NP-T-7016;139
#LEFTOVERS
{bd1c01ef-7f3b-4913-b709-d41f554f3b67};selejt;0
{5161c3f7-4b87-4d81-b817-53c25406b9cb};selejt;66
{1fc6b37a-62ef-403f-b209-5fdc91f83537};selejt;101.8
{56324734-c612-49d2-8c5a-658825ca1f31};RST-B-577;1190.4
{3e6d8b60-012e-4a2b-bb94-d4e9f67ac359};selejt;274.8
{ffce6f68-ea39-4640-8960-0bbcab9c34f8};selejt;431.8
{b9ba2546-2d80-403c-9429-b263978cc622};selejt;321
{8d1fa7b5-c383-40d7-9c9f-9dd1f4881254};RST-B-578;894.8
{4a768426-f009-4e30-a6ee-5a725eac10fa};RST-B-579;1881.4
{48329238-ceae-4d61-8963-8a9c75f4c4c5};RST-B-580;4481.6
{3df1af38-33f2-4739-8cb1-0018a001c204};RST-B-581;1549.8
{8506feed-c793-497f-be7b-f94358b2eb73};RST-B-582;1981.4
{216f9478-a671-4307-befb-cd4c0360da53};selejt;550
{723f3362-d057-4f92-868e-9b33b00fa4a9};RST-B-583;879.8
{ba8a9207-39b7-46ad-9d09-0bd46650539e};RST-B-584;2133.6
{bc6b7cf4-9514-4968-afbb-2f16908bb607};selejt;321
{3f99b4c6-2fab-4661-ae87-153ae4948a8a};RST-B-585;3251.6
{da4fba50-638a-457a-81c6-15751d254c4b};RST-B-586;3251.6
{41a3516a-7e37-4612-8426-3c5a9d96e5cf};RST-B-587;2158.6
{5508f92b-a260-446e-8222-9c0ebde14f96};RST-B-588;1257
{add3ea70-8841-4cb9-b13b-1c458c632543};RST-B-589;4533.6
{e467be92-19e3-4070-b2db-6db400483d1b};RST-B-590;3496.6
{ab1cf741-796f-4831-863c-35dc8cfa01ac};RST-B-591;2133.6
{b7a17679-ff32-4d4c-a24b-a300b6593512};RST-B-592;903
{5b9e169c-1d5f-4e8b-9919-4fd5903635cb};RST-B-593;871
{23f421ae-bbe7-4bae-a049-199236a21c56};RST-B-594;773.8
{bb9a9d46-0e95-40a0-b5ba-1d54f17bb3bc};RST-B-595;2158.6
