#VERSION 2
#CUTPLANS
{cbf576aa-fbdf-45ba-8eb3-d461ad63cb4e};2;P;198;MAT-CP-479;{bee3abde-bd0f-45d4-9330-f7dc435edc1d};244
{cbf576aa-fbdf-45ba-8eb3-d461ad63cb4e};3;K;2;KERF;{bee3abde-bd0f-45d4-9330-f7dc435edc1d};244
{cbf576aa-fbdf-45ba-8eb3-d461ad63cb4e};4;P;290;MAT-CP-480;{87eb6d64-b5b2-4e8b-b116-facfa5eaeb93};245
{cbf576aa-fbdf-45ba-8eb3-d461ad63cb4e};5;K;2;KERF;{87eb6d64-b5b2-4e8b-b116-facfa5eaeb93};245
{dd90ab9f-b2fc-455f-9fda-16d84b115045};0;P;605;MAT-CP-482;{fbca1fdf-0a3b-46eb-94c0-340e5ec6d59d};238
{dd90ab9f-b2fc-455f-9fda-16d84b115045};1;K;3.2;KERF;{fbca1fdf-0a3b-46eb-94c0-340e5ec6d59d};238
{c9481836-8296-44e4-89b0-7d57871c60f3};0;P;1950;MAT-CP-484;{361bc831-7a57-44b2-a092-1bc7e622d107};241
{c9481836-8296-44e4-89b0-7d57871c60f3};1;K;3.2;KERF;{361bc831-7a57-44b2-a092-1bc7e622d107};241
{1c0389f9-ae8e-44ac-9a92-0b8c84bc7f2f};0;P;1980;MAT-CP-487;{fdf1a448-dddb-488e-864b-9f48d717482b};245
{1c0389f9-ae8e-44ac-9a92-0b8c84bc7f2f};1;K;3.2;KERF;{fdf1a448-dddb-488e-864b-9f48d717482b};245
{ff018c90-5bdf-4f42-b59b-f76e7176a8b8};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ff018c90-5bdf-4f42-b59b-f76e7176a8b8};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ff018c90-5bdf-4f42-b59b-f76e7176a8b8};2;P;2248;MAT-CP-490;{fa6dbf79-d1fb-4892-90c4-dcdd046f5440};237
{ff018c90-5bdf-4f42-b59b-f76e7176a8b8};3;K;3.2;KERF;{fa6dbf79-d1fb-4892-90c4-dcdd046f5440};237
{ff018c90-5bdf-4f42-b59b-f76e7176a8b8};4;P;2508;MAT-CP-491;{68c14905-5350-48c5-a62c-71d2fb6dd917};238
