#VERSION 2
#CUTPLANS
{116604ed-248b-4c21-9f02-e42022b1cbbd};0;P;45;MAT-CM-929;{2f3afc4d-4abf-4fb8-95d4-6c2e4037b34d};223
{116604ed-248b-4c21-9f02-e42022b1cbbd};1;K;2;KERF;{2f3afc4d-4abf-4fb8-95d4-6c2e4037b34d};223
{116604ed-248b-4c21-9f02-e42022b1cbbd};2;P;100;MAT-CM-930;{e82061ec-b840-4f68-9312-36299d74b589};231
{116604ed-248b-4c21-9f02-e42022b1cbbd};3;K;2;KERF;{e82061ec-b840-4f68-9312-36299d74b589};231
{116604ed-248b-4c21-9f02-e42022b1cbbd};4;P;145;MAT-CM-931;{7acad410-cc24-4ac7-9cb4-dfead77cbd1f};232
{116604ed-248b-4c21-9f02-e42022b1cbbd};5;K;2;KERF;{7acad410-cc24-4ac7-9cb4-dfead77cbd1f};232
{ec20c857-d199-43c2-9b25-78e2fb7df0f7};0;P;1647;MAT-CM-933;{98855523-b58c-4e89-b76f-268914a34834};223
{ec20c857-d199-43c2-9b25-78e2fb7df0f7};1;K;3.2;KERF;{98855523-b58c-4e89-b76f-268914a34834};223
{7a3de7ae-f30f-44e3-87eb-b807e0f5e6ca};0;P;2462;MAT-CM-935;{beb7b188-5a8e-4887-9c0c-faac4e406c0e};230
{7a3de7ae-f30f-44e3-87eb-b807e0f5e6ca};1;K;3.2;KERF;{beb7b188-5a8e-4887-9c0c-faac4e406c0e};230
{da9f59f3-7511-47c9-93f5-366b6be10559};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{da9f59f3-7511-47c9-93f5-366b6be10559};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{da9f59f3-7511-47c9-93f5-366b6be10559};2;P;2462;MAT-CM-938;{27caa2e7-5b40-46db-a837-5e5df9801077};230
{da9f59f3-7511-47c9-93f5-366b6be10559};3;K;3.2;KERF;{27caa2e7-5b40-46db-a837-5e5df9801077};230
{da9f59f3-7511-47c9-93f5-366b6be10559};4;P;2462;MAT-CM-939;{041395e9-1e7d-4ecd-8a63-319dae697e01};231
{da9f59f3-7511-47c9-93f5-366b6be10559};5;K;3.2;KERF;{041395e9-1e7d-4ecd-8a63-319dae697e01};231
{6d2191d0-46b5-4254-80b1-9188dd41951a};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{6d2191d0-46b5-4254-80b1-9188dd41951a};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{6d2191d0-46b5-4254-80b1-9188dd41951a};2;P;2462;MAT-CM-941;{29164a83-fb73-4fd8-a2af-d88082fb7ee8};232
{6d2191d0-46b5-4254-80b1-9188dd41951a};3;K;3.2;KERF;{29164a83-fb73-4fd8-a2af-d88082fb7ee8};232
{ca6f0648-676c-4269-8542-6b81609a30cb};0;T;15;TECH;{00000000-0000-0000-0000-000000000000};
{ca6f0648-676c-4269-8542-6b81609a30cb};1;K;3.2;KERF;{00000000-0000-0000-0000-000000000000};
{ca6f0648-676c-4269-8542-6b81609a30cb};2;P;2462;MAT-CM-944;{a76c9766-7e3c-40ca-97fa-3655fa3d6822};230
{ca6f0648-676c-4269-8542-6b81609a30cb};3;K;3.2;KERF;{a76c9766-7e3c-40ca-97fa-3655fa3d6822};230
{ca6f0648-676c-4269-8542-6b81609a30cb};4;P;2462;MAT-CM-945;{6ddb73ef-fc97-43ec-a3f6-39d3ae773a4f};231
