externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;handlerSide;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1173";"frama";0;0;1500;;5;Unknown;"";NP-T-7016;Width;false
"1274";"frama";0;0;1210;;4;Unknown;"";NP-T-7016;Width;false
"1275";"frama";0;0;1250;;5;Unknown;"";NP-T-7016;Width;false
"1276";"frama";0;0;1280;;8;Unknown;"";NP-T-7016;Width;false
"1277";"frama";0;0;1810;;2;Unknown;"";NP-T-7016;Width;false
"1278";"frama";0;0;1800;;2;Unknown;"";NP-T-7016;Width;false
"1279";"frama";0;0;1250;;5;Unknown;"";NP-T-7016;Width;false
"1280";"frama";0;0;1660;;4;Unknown;"";NP-T-7016;Width;false
"1281";"frama";0;0;1700;;10;Unknown;"";NP-T-7016;Width;false
"1282";"frama";0;0;1170;;2;Unknown;"";NP-T-7016;Width;false
"1283";"frama";0;0;1070;;1;Unknown;"";NP-T-7016;Width;false
"1284";"frama";0;0;1170;;1;Unknown;"";NP-T-7016;Width;false
"1285";"frama";0;0;1040;;2;Unknown;"";NP-T-7016;Width;false
"1286";"frama";0;0;1040;;2;Unknown;"";NP-T-7016;Width;false
"1287";"frama";0;0;1960;;1;Unknown;"";NP-T-7016;Width;false
"1288";"frama";0;0;1960;;1;Unknown;"";NP-T-7016;Width;false
"1289";"frama";0;0;1960;;1;Unknown;"";NP-T-7016;Width;false
"1290";"frama";0;0;1960;;1;Unknown;"";NP-T-7016;Width;false
