externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;handlerSide;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1413";"PrémiumHoliday";0;0;1622;;1;Unknown;"";NP-CZ-7016;Width;false
"1414";"PrémiumHoliday";0;0;1037;;1;Unknown;"";NP-CZ-7016;Width;false
"1415";"PrémiumHoliday";0;0;432;;1;Unknown;"";NP-CZ-7016;Width;false
"1416";"PrémiumHoliday";0;0;1627;;1;Unknown;"";NP-CZ-7016;Width;false
"1417";"PrémiumHoliday";0;0;1967;;1;Unknown;"";NP-CZ-7016;Width;false
"1418";"PrémiumHoliday";0;0;837;;1;Unknown;"";NP-CZ-7016;Width;false
"1419";"PrémiumHoliday";0;0;1632;;1;Unknown;"";NP-CZ-7016;Width;false
"1420";"PrémiumHoliday";0;0;1027;;1;Unknown;"";NP-CZ-7016;Width;false
"1421";"PrémiumHoliday";0;0;437;;1;Unknown;"";NP-CZ-7016;Width;false
"1422";"PrémiumHoliday";0;0;1637;;1;Unknown;"";NP-CZ-7016;Width;false
"1423";"PrémiumHoliday";0;0;1967;;1;Unknown;"";NP-CZ-7016;Width;false
"1424";"PrémiumHoliday";0;0;827;;1;Unknown;"";NP-CZ-7016;Width;false
"1425";"PrémiumHoliday";0;0;837;;1;Unknown;"";NP-CZ-7016;Width;false
"1426";"PrémiumHoliday";0;0;2017;;1;Unknown;"";NP-CZ-7016;Width;false
"1427";"PrémiumHoliday";0;0;1032;;1;Unknown;"";NP-CZ-7016;Width;false
"1428";"PrémiumHoliday";0;0;422;;1;Unknown;"";NP-CZ-7016;Width;false
"1429";"PrémiumHoliday";0;0;1027;;1;Unknown;"";NP-CZ-7016;Width;false
"1430";"PrémiumHoliday";0;0;437;;1;Unknown;"";NP-CZ-7016;Width;false
"1431";"PrémiumHoliday";0;0;1037;;1;Unknown;"";NP-CZ-7016;Width;false
"1432";"PrémiumHoliday";0;0;1042;;1;Unknown;"";NP-CZ-7016;Width;false
"1433";"PrémiumHoliday";0;0;442;;1;Unknown;"";NP-CZ-7016;Width;false
"1434";"PrémiumHoliday";0;0;1042;;1;Unknown;"";NP-CZ-7016;Width;false
"1435";"PrémiumHoliday";0;0;437;;1;Unknown;"";NP-CZ-7016;Width;false
"1436";"PrémiumHoliday";0;0;1032;;1;Unknown;"";NP-CZ-7016;Width;false
"1437";"PrémiumHoliday";0;0;1987;;1;Unknown;"";NP-CZ-7016;Width;false
"1438";"PrémiumHoliday";0;0;837;;1;Unknown;"";NP-CZ-7016;Width;false
"1439";"PrémiumHoliday";0;0;2317;;1;Unknown;"";NP-CZ-7016;Width;false
"1440";"PrémiumHoliday";0;0;732;;1;Unknown;"";NP-CZ-7016;Width;false
"1443";"PrémiumHoliday";0;0;2267;;1;Unknown;"";NP-CZ-7016;Width;false
"1444";"PrémiumHoliday";0;0;3492;;1;Unknown;"";NP-CZ-7016;Width;false
"1445";"PrémiumHoliday";0;0;2232;;1;Unknown;"";NP-CZ-7016;Width;false
