externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;handlerSide;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded
"1413";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1414";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1415";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1416";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1417";"PrémiumHoliday";0;0;2397;;1;Unknown;"";NP-CL-7016;Width;false
"1418";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1419";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1420";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1421";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1422";"PrémiumHoliday";0;0;1487;;1;Unknown;"";NP-CL-7016;Width;false
"1423";"PrémiumHoliday";0;0;2397;;1;Unknown;"";NP-CL-7016;Width;false
"1424";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1425";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1426";"PrémiumHoliday";0;0;2397;;1;Unknown;"";NP-CL-7016;Width;false
"1427";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1428";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1429";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1430";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1431";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1432";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1433";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1434";"PrémiumHoliday";0;0;1482;;1;Unknown;"";NP-CL-7016;Width;false
"1435";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1436";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1437";"PrémiumHoliday";0;0;2297;;1;Unknown;"";NP-CL-7016;Width;false
"1438";"PrémiumHoliday";0;0;1477;;1;Unknown;"";NP-CL-7016;Width;false
"1439";"PrémiumHoliday";0;0;2257;;1;Unknown;"";NP-CL-7016;Width;false
"1440";"PrémiumHoliday";0;0;1327;;1;Unknown;"";NP-CL-7016;Width;false
"1443";"PrémiumHoliday";0;0;2237;;1;Unknown;"";NP-CL-7016;Width;false
"1444";"PrémiumHoliday";0;0;2237;;1;Unknown;"";NP-CL-7016;Width;false
"1445";"PrémiumHoliday";0;0;2237;;1;Unknown;"";NP-CL-7016;Width;false
