externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes;surface;calcMode
"374";"KV-Ép";855;1690;850;;1;0;1;"RAL 8003";NP-T-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"374";"KV-Ép";855;1690;850;;1;0;1;"RAL 8003";NP-TF-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"374";"KV-Ép";855;1690;780;;1;0;1;"RAL 8003";NP-SZ-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"374";"KV-Ép";855;1690;1588;;1;0;1;"RAL 8003";NP-SL2-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"374";"KV-Ép";855;1690;802;;1;0;1;"RAL 8003";NP-ROLL70-5000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"374";"KV-Ép";855;1690;735;;1;0;1;"RAL 8003";NP-BAR12-4000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;2235;;1;0;1;"RAL 8003";NP-T-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;2235;;1;0;1;"RAL 8003";NP-TF-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;2165;;1;0;1;"RAL 8003";NP-SZ-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;1588;;1;0;1;"RAL 8003";NP-SL2-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;2187;;1;0;1;"RAL 8003";NP-ROLL70-5000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"375";"KV-Ép";2240;1690;2120;;1;0;1;"RAL 8003";NP-BAR12-4000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;2225;;1;0;1;"RAL 8003";NP-T-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;2225;;1;0;1;"RAL 8003";NP-TF-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;2155;;1;0;1;"RAL 8003";NP-SZ-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;1583;;1;0;1;"RAL 8003";NP-SL2-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;2177;;1;0;1;"RAL 8003";NP-ROLL70-5000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"376";"KV-Ép";2230;1685;2110;;1;0;1;"RAL 8003";NP-BAR12-4000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;2220;;1;0;1;"RAL 8003";NP-T-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;2220;;1;0;1;"RAL 8003";NP-TF-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;2150;;1;0;1;"RAL 8003";NP-SZ-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;1588;;1;0;1;"RAL 8003";NP-SL2-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;2172;;1;0;1;"RAL 8003";NP-ROLL70-5000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"377";"KV-Ép";2225;1690;2105;;1;0;1;"RAL 8003";NP-BAR12-4000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;2225;;1;0;1;"RAL 8003";NP-T-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;2225;;1;0;1;"RAL 8003";NP-TF-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;2155;;1;0;1;"RAL 8003";NP-SZ-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;1578;;1;0;1;"RAL 8003";NP-SL2-9010;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;2177;;1;0;1;"RAL 8003";NP-ROLL70-5000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
"378";"KV-Ép";2230;1680;2110;;1;0;1;"RAL 8003";NP-BAR12-4000;Width;false;2026-09-24;NP;SIN;meghajtas=kurblis;SM;Gyartasi
