externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;subtype;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate
"1413";"PrémiumHoliday";0;0;1740;;5;2;3;none;"";NP-T-7016;Width;false;2026-06-03
"1414";"PrémiumHoliday";0;0;1155;;1;0;0;rugos;"";NP-T-7016;Width;false;2026-06-03
"1415";"PrémiumHoliday";0;0;550;;1;0;0;tetoteri;"";NP-T-7016;Width;false;2026-06-03
"1416";"PrémiumHoliday";0;0;1745;;1;0;0;alap;"";NP-T-7016;Width;false;2026-06-03
"1417";"PrémiumHoliday";0;0;2085;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1418";"PrémiumHoliday";0;0;955;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1419";"PrémiumHoliday";0;0;1750;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1420";"PrémiumHoliday";0;0;1145;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1421";"PrémiumHoliday";0;0;555;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1422";"PrémiumHoliday";0;0;1755;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1423";"PrémiumHoliday";0;0;2085;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1424";"PrémiumHoliday";0;0;945;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1425";"PrémiumHoliday";0;0;955;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1426";"PrémiumHoliday";0;0;2135;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1427";"PrémiumHoliday";0;0;1150;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1428";"PrémiumHoliday";0;0;540;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1429";"PrémiumHoliday";0;0;1145;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1430";"PrémiumHoliday";0;0;555;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1431";"PrémiumHoliday";0;0;1155;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1432";"PrémiumHoliday";0;0;1160;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1433";"PrémiumHoliday";0;0;560;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1434";"PrémiumHoliday";0;0;1160;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1435";"PrémiumHoliday";0;0;555;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1436";"PrémiumHoliday";0;0;1150;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1437";"PrémiumHoliday";0;0;2105;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1438";"PrémiumHoliday";0;0;955;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1439";"PrémiumHoliday";0;0;2435;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1440";"PrémiumHoliday";0;0;850;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1443";"PrémiumHoliday";0;0;2385;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1444";"PrémiumHoliday";0;0;3609;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
"1445";"PrémiumHoliday";0;0;2280;;1;0;0;none;"";NP-T-7016;Width;false;2026-06-03
