RST-C-030;;;RSM-810^0^132^0^0^0| | ➨ RST-C-030: 5050 mm^0^2^0^0^0|CipzárosLábbetét_Pár [NP-CLB2]^1^132^0^1^0
RST-C-058;;;RST-C-039^0^132^0^0^0| | ➨ RST-C-058: 3200 mm^0^2^0^0^0|CipzárosLábbetét_Pár [NP-CLB2]^1^132^0^1^0
