materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-CLB;1200;Manual;;RSM-527;CM2WH;2026-07-17T13:30:06;2026-07-17T13:30:06;unknown;0
NP-CL;1000;Manual;;RSM-530;CM2WH;2026-07-17T13:30:41;2026-07-17T13:30:41;unknown;0
NP-CLB;1200;Manual;;RSM-531;CM2WH;2026-07-17T13:30:51;2026-07-17T13:30:51;unknown;0
NP-T;2300;Manual;;RSM-534;CM2WH;2026-07-18T10:59:20;2026-07-18T10:59:20;unknown;0
NP-T;1050;Manual;;RSM-538;CM2WH;2026-07-18T11:00:14;2026-07-18T11:00:14;unknown;0
NP-SZ;2400;Manual;;RSM-539;CM2WH;2026-07-18T11:00:25;2026-07-18T11:00:25;unknown;0
NP-CZ-9010;1350;Manual;;RSM-541;CM2WH;2026-07-18T11:01:07;2026-07-18T11:01:07;unknown;0
NP-SZ;1475;Manual;;RSM-545;CM2WH;2026-07-18T11:02:58;2026-07-18T11:02:58;unknown;0
NP-SL;1450;Manual;;RSM-546;CM2WH;2026-07-18T11:03:55;2026-07-18T11:03:55;unknown;0
NP-ROLL70-5000;2610;Manual;;RSM-547;CM1WH;2026-07-20T08:26:26;2026-07-20T08:26:26;unknown;0
NP-ROLL78-7000;3105;Manual;;RSM-548;CM1WH;2026-07-20T08:26:40;2026-07-20T08:26:40;unknown;0
NP-ROLL70-7000;990;Manual;;RSM-549;CM1WH;2026-07-20T08:35:48;2026-07-20T08:35:48;unknown;0
NP-BAR22-3000;710;Manual;;RSM-554;CM1WH;2026-07-20T09:51:12;2026-07-20T09:51:12;unknown;0
NP-BAR22-3000;1055;Manual;;RSM-555;CM1WH;2026-07-20T09:51:23;2026-07-20T09:51:23;unknown;0
NP-ROLL78-7000;3245;Manual;;RSM-557;CM1WH;2026-07-20T12:20:08;2026-07-20T12:20:08;unknown;0
NP-BAR12-4000;1260;Manual;;RSM-559;CM1WH;2026-07-20T12:20:33;2026-07-20T12:20:33;unknown;0
NP-ROLL70-7000;1285;Manual;;RSM-560;CM1WH;2026-07-20T12:20:49;2026-07-20T12:20:49;unknown;0
NP-BAR12-4000;1305;Manual;;RSM-561;CM1WH;2026-07-20T12:21:05;2026-07-20T12:21:05;unknown;0
NP-BAR12-4000;1680;Manual;;RSM-562;CM1WH;2026-07-20T13:39:04;2026-07-20T13:39:04;unknown;0
NP-BAR12-4000;1650;Manual;;RSM-563;CM1WH;2026-07-20T13:39:10;2026-07-20T13:39:10;unknown;0
NP-BAR12-4000;1560;Manual;;RSM-564;CM1WH;2026-07-20T13:39:14;2026-07-20T13:39:14;unknown;0
NP-BAR12-4000;1520;Manual;;RSM-565;CM1WH;2026-07-20T13:39:23;2026-07-20T13:39:23;unknown;0
NP-BAR12-4000;1365;Manual;;RSM-566;CM1WH;2026-07-20T13:39:31;2026-07-20T13:39:31;unknown;0
NP-BAR12-4000;1285;Manual;;RSM-567;CM1WH;2026-07-20T13:39:36;2026-07-20T13:39:36;unknown;0
NP-BAR12-4000;1090;Manual;;RSM-568;CM1WH;2026-07-20T13:39:49;2026-07-20T13:39:49;unknown;0
NP-BAR12-4000;1085;Manual;;RSM-569;CM1WH;2026-07-20T13:40:15;2026-07-20T13:40:15;unknown;0
NP-BAR22-3000;960;Manual;;RSM-571;CM1WH;2026-07-20T13:40:35;2026-07-20T13:40:35;unknown;0
NP-BAR12-4000;1190;Manual;;RSM-572;CM1WH;2026-07-20T13:41:03;2026-07-20T13:41:03;unknown;0
NP-ROLL78-7000;1630;Manual;;RSM-574;CM1WH;2026-07-20T13:42:43;2026-07-20T13:42:43;unknown;0
NP-ROLL78-7000;1745;Manual;;RSM-575;CM1WH;2026-07-20T13:42:50;2026-07-20T13:42:50;unknown;0
NP-ROLL78-7000;1655;Manual;;RSM-576;CM1WH;2026-07-20T13:42:52;2026-07-20T13:42:52;unknown;0
NP-ROLL78-7000;2270;Manual;;RSM-578;CM1WH;2026-07-20T14:41:38;2026-07-20T14:41:38;unknown;0
NP-ROLL78-7000;2005;Manual;;RSM-579;CM1WH;2026-07-20T14:41:42;2026-07-20T14:41:42;unknown;0
NP-ROLL78-7000;2070;Manual;;RSM-580;CM1WH;2026-07-20T14:41:47;2026-07-20T14:41:47;unknown;0
NP-ROLL78-7000;1530;Manual;;RSM-581;CM1WH;2026-07-20T14:41:51;2026-07-20T14:41:51;unknown;0
NP-ROLL78-7000;3105;Manual;;RSM-582;CM1WH;2026-07-20T14:41:57;2026-07-20T14:41:57;unknown;0
NP-ROLL78-7000;1755;Manual;;RSM-583;CM1WH;2026-07-20T14:42:00;2026-07-20T14:42:00;unknown;0
NP-ROLL78-7000;2300;Manual;;RSM-584;CM1WH;2026-07-20T14:42:04;2026-07-20T14:42:04;unknown;0
NP-ROLL78-7000;2830;Manual;;RSM-585;CM1WH;2026-07-20T14:43:27;2026-07-20T14:43:27;unknown;0
NP-ROLL78-7000;2010;Manual;;RSM-586;CM1WH;2026-07-20T14:43:34;2026-07-20T14:43:34;unknown;0
NP-ROLL78-7000;1780;Manual;;RSM-587;CM1WH;2026-07-20T14:43:40;2026-07-20T14:43:40;unknown;0
NP-ROLL78-7000;2305;Manual;;RSM-588;CM1WH;2026-07-20T14:43:46;2026-07-20T14:43:46;unknown;0
NP-ROLL78-7000;2125;Manual;;RSM-589;CM1WH;2026-07-20T14:43:53;2026-07-20T14:43:53;unknown;0
NP-ROLL78-7000;1900;Manual;;RSM-590;CM1WH;2026-07-20T14:43:59;2026-07-20T14:43:59;unknown;0
NP-ROLL78-7000;2125;Manual;;RSM-591;CM1WH;2026-07-20T14:44:05;2026-07-20T14:44:05;unknown;0
NP-ROLL78-7000;2215;Manual;;RSM-592;CM1WH;2026-07-20T14:44:14;2026-07-20T14:44:14;unknown;0
NP-ROLL78-7000;1620;Manual;;RSM-593;CM1WH;2026-07-20T15:21:48;2026-07-20T15:21:48;unknown;0
NP-ROLL78-7000;2265;Manual;;RSM-594;CM1WH;2026-07-20T15:21:52;2026-07-20T15:21:52;unknown;0
NP-ROLL78-7000;1985;Manual;;RSM-595;CM1WH;2026-07-20T15:21:58;2026-07-20T15:21:58;unknown;0
NP-ROLL78-7000;2278;Manual;;RSM-596;CM1WH;2026-07-20T15:25:12;2026-07-20T15:25:12;unknown;0
NP-ROLL78-7000;2500;Manual;;RSM-597;CM1WH;2026-07-20T15:25:17;2026-07-20T15:25:17;unknown;0
NP-ROLL78-7000;2110;Manual;;RSM-598;CM1WH;2026-07-20T15:25:21;2026-07-20T15:25:21;unknown;0
NP-ROLL78-7000;2440;Manual;;RSM-599;CM1WH;2026-07-20T15:25:26;2026-07-20T15:25:26;unknown;0
NP-ROLL78-7000;1985;Manual;;RSM-600;CM1WH;2026-07-20T15:25:31;2026-07-20T15:25:31;unknown;0
NP-ROLL78-7000;2625;Manual;;RSM-601;CM1WH;2026-07-20T15:25:40;2026-07-20T15:25:40;unknown;0
NP-ROLL78-7000;2435;Manual;;RSM-602;CM1WH;2026-07-20T15:25:46;2026-07-20T15:25:46;unknown;0
NP-ROLL78-7000;2255;Manual;;RSM-603;CM1WH;2026-07-20T15:25:53;2026-07-20T15:25:53;unknown;0
NP-ROLL78-7000;2300;Manual;;RSM-604;CM1WH;2026-07-20T15:25:58;2026-07-20T15:25:58;unknown;0
NP-ROLL70-7000;1715;Manual;;RSM-608;CM1WH;2026-07-22T09:25:37;2026-07-22T09:25:37;unknown;0
NP-ROLL70-7000;1277;Manual;;RSM-609;CM1WH;2026-07-22T09:25:39;2026-07-22T09:25:39;unknown;0
NP-ROLL70-7000;885;Manual;;RSM-611;CM1WH;2026-07-22T09:25:47;2026-07-22T09:25:47;unknown;0
NP-ROLL70-7000;753;Manual;;RSM-612;CM1WH;2026-07-22T09:25:52;2026-07-22T09:25:52;unknown;0
NP-ROLL70-7000;650;Manual;;RSM-613;CM1WH;2026-07-22T09:25:55;2026-07-22T09:25:55;unknown;0
NP-ROLL78-7000;3445;Manual;;RSM-615;CM1WH;2026-07-22T09:26:10;2026-07-22T09:26:10;unknown;0
NP-BAR22-3000;960;Manual;;RSM-616;CM1WH;2026-07-22T09:26:29;2026-07-22T09:26:29;unknown;0
NP-BAR22-3000;920;Manual;;RSM-617;CM1WH;2026-07-22T09:26:32;2026-07-22T09:26:32;unknown;0
NP-BAR22-3000;955;Manual;;RSM-618;CM1WH;2026-07-22T09:26:35;2026-07-22T09:26:35;unknown;0
NP-BAR22-3000;915;Manual;;RSM-619;CM1WH;2026-07-22T09:26:38;2026-07-22T09:26:38;unknown;0
NP-ROLL70-7000;660;Manual;;RSM-622;CM1WH;2026-07-23T12:10:24;2026-07-23T12:10:24;unknown;0
NP-BAR22-3000;1000;Manual;;RSM-623;CM1WH;2026-07-23T12:10:36;2026-07-23T12:10:36;unknown;0
NP-BAR22-3000;495;Manual;;RSM-624;CM1WH;2026-07-23T12:10:41;2026-07-23T12:10:41;unknown;0
NP-BAR22-3000;945;Manual;;RSM-625;CM1WH;2026-07-23T12:10:44;2026-07-23T12:10:44;unknown;0
NP-BAR22-3000;950;Manual;;RSM-626;CM1WH;2026-07-23T12:10:48;2026-07-23T12:10:48;unknown;0
NP-BAR22-3000;1185;Manual;;RSM-627;CM1WH;2026-07-23T12:10:51;2026-07-23T12:10:51;unknown;0
NP-BAR22-3000;1285;Manual;;RSM-628;CM1WH;2026-07-23T12:10:54;2026-07-23T12:10:54;unknown;0
NP-BAR22-3000;1090;Manual;;RSM-629;CM1WH;2026-07-23T12:10:57;2026-07-23T12:10:57;unknown;0
NP-BAR22-3000;1275;Manual;;RSM-630;CM1WH;2026-07-23T12:11:01;2026-07-23T12:11:01;unknown;0
NP-T;80;Manual;;RSM-631;CM2WH;2026-07-24T13:23:26;2026-07-24T13:23:26;unknown;0
NP-T;775;Manual;;RSM-632;CM2WH;2026-07-24T13:23:33;2026-07-24T13:23:33;unknown;0
NP-TF-9010;1050;Manual;;RSM-633;CM2WH;2026-07-24T13:23:57;2026-07-24T13:23:57;unknown;0
NP-TF-9010;1025;Manual;;RSM-634;CM2WH;2026-07-24T13:24:09;2026-07-24T13:24:09;unknown;0
NP-TF-9010;1000;Manual;;RSM-635;CM2WH;2026-07-24T13:24:17;2026-07-24T13:24:17;unknown;0
NP-TF-9010;750;Manual;;RSM-636;CM2WH;2026-07-24T13:24:21;2026-07-24T13:24:21;unknown;0
NP-T-9010;800;Manual;;RSM-637;CM2WH;2026-07-24T15:08:48;2026-07-24T15:08:48;unknown;0
NP-T-9010;1050;Manual;;RSM-638;CM2WH;2026-07-24T15:08:54;2026-07-24T15:08:54;unknown;0
NP-CLT;1000;Manual;;RSM-639;CM2WH;2026-07-24T15:09:08;2026-07-24T15:09:08;unknown;0
NP-CLT;1000;Manual;;RSM-640;CM2WH;2026-07-24T15:09:13;2026-07-24T15:09:13;unknown;0
NP-SZ;1125;Manual;;RSM-641;CM2WH;2026-07-24T15:09:29;2026-07-24T15:09:29;unknown;0
NP-SL-9010;2500;Manual;;RSM-642;CM2WH;2026-07-24T15:10:32;2026-07-24T15:10:32;unknown;0
NP-CL;825;Manual;;RSM-643;CM2WH;2026-07-24T15:10:46;2026-07-24T15:10:46;unknown;0
NP-TF;850;Manual;;RSM-644;CM2WH;2026-07-24T15:11:01;2026-07-24T15:11:01;unknown;0
NP-T-9010;1000;Manual;;RSM-645;CM2WH;2026-07-24T15:11:19;2026-07-24T15:11:19;unknown;0
NP-SZ;925;Manual;;RSM-646;CM2WH;2026-07-24T15:11:33;2026-07-24T15:11:33;unknown;0
NP-CZ;1150;Manual;;RSM-647;CM2WH;2026-07-24T15:11:48;2026-07-24T15:11:48;unknown;0
NP-CZ;1150;Manual;;RSM-648;CM2WH;2026-07-24T15:11:55;2026-07-24T15:11:55;unknown;0
NP-CL-9010;1025;Manual;;RSM-649;CM2WH;2026-07-24T15:12:12;2026-07-24T15:12:12;unknown;0
NP-CL-9010;1025;Manual;;RSM-650;CM2WH;2026-07-24T15:12:15;2026-07-24T15:12:15;unknown;0
NP-CL-9010;1025;Manual;;RSM-651;CM2WH;2026-07-24T15:12:18;2026-07-24T15:12:18;unknown;0
NP-CLB;1280;Manual;;RSM-653;CM2WH;2026-07-24T15:32:38;2026-07-24T15:32:38;unknown;0
NP-CLB;1500;Manual;;RSM-654;CM2WH;2026-07-24T15:32:44;2026-07-24T15:32:44;unknown;0
NP-CLB;1490;Manual;;RSM-655;CM2WH;2026-07-24T15:32:51;2026-07-24T15:32:51;unknown;0
NP-CLB;1950;Manual;;RSM-656;CM2WH;2026-07-24T15:33:01;2026-07-24T15:33:01;unknown;0
NP-CLB;3150;Manual;;RSM-657;CM2WH;2026-07-24T15:33:11;2026-07-24T15:33:11;unknown;0
NP-CLB;3750;Manual;;RSM-658;CM2WH;2026-07-24T15:33:22;2026-07-24T15:33:22;unknown;0
NP-SZ;1350;Manual;;RSM-659;CM2WH;2026-07-24T15:33:36;2026-07-24T15:33:36;unknown;0
NP-CZ;1250;Manual;;RSM-660;CM2WH;2026-07-24T15:33:48;2026-07-24T15:33:48;unknown;0
NP-CZ;1000;Manual;;RSM-661;CM2WH;2026-07-24T15:33:53;2026-07-24T15:33:53;unknown;0
NP-CZ;800;Manual;;RSM-662;CM2WH;2026-07-24T15:33:56;2026-07-24T15:33:56;unknown;0
NP-CZ;800;Manual;;RSM-663;CM2WH;2026-07-24T15:33:58;2026-07-24T15:33:58;unknown;0
NP-CZ;800;Manual;;RSM-664;CM2WH;2026-07-24T15:34:00;2026-07-24T15:34:00;unknown;0
NP-CL;1975;Manual;;RSM-665;CM2WH;2026-07-24T15:34:34;2026-07-24T15:34:34;unknown;0
NP-CL;1975;Manual;;RSM-666;CM2WH;2026-07-24T15:34:37;2026-07-24T15:34:37;unknown;0
NP-CL;2000;Manual;;RSM-667;CM2WH;2026-07-24T15:34:41;2026-07-24T15:34:41;unknown;0
