name;barcode;stockLength;dim1;dim2;shape;machineId;type;color;surface;cuttingMode;paintingMode;trim;minLeftOver;scrap;goodLeftOverMin;goodLeftOverMax;externalCode;description;family
Tengely Ø38 hornyos;TE-H-38;6000;38;;Round;CM2;Aluminium;;SM;Length;None;15;70;300;600;1200;;;Tengely
Tengely Ø47 bordás;TE-B-47;6000;47;;Round;CM2;Aluminium;;SM;Length;None;15;70;300;600;1200;80050528;;Tengely
SávrolóTok;SR-T;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;20;100;300;600;1500;;;Unknown
FelsőSín;SR-FSN;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;20;50;300;600;1500;;;Unknown
SávrolóZáró;SR-Z;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1500;;;Zaro
SávrolóPálca;SP-6000;6000;14;;Round;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1500;;;Palca
MiniTok;MT;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;20;100;300;600;1500;;;Unknown
MinitokosZáró;MT-Z;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1500;;;Zaro
MinitokosPálca;MT-P;6000;8;;Round;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1500;;;Palca
MinitokosLáb;MT-L;6000;25.7;3.6;Rectangular;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1500;;;Lab
AlsóPálca;ROL-P;6000;10;;Round;CM2;Aluminium;;SM;Length;None;30;100;300;600;1000;;;Palca
ÚjGyöngyösZáró;ROL-GYZ;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1200;;;Zaro
ErősítettZáró;ROL-EZ;6000;;;Custom;CM2;Aluminium;RAL 9016;SM;Length;Paintable;15;70;300;600;1200;;;Zaro
RugósRugó;ROL-RRG;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;;Rugo
TetőtériRugó;ROL-TRG;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;;Rugo
RolettaVászon;ROL-FAB;0;;;Custom;CM2;Unknown;;SM;Length;None;0;0;0;0;0;;;Textil
AlsóPálcaDugó;ROL-PD;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;;Fitting
TengelyVég;ROL-TEV;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;;Fitting
MinitokosVégelem_Set_Bal;MT-VE-B;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.243.S.RAL9016.SOL,EndCap for BP.242;;Fitting
MinitokosVégelem_Set_Jobb;MT-VE-J;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.243.S.RAL9016.SAG,EndCap for BP.242;;Fitting
SávrolóKonzol1;SR-KONZOL_1;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;BP.183.RAL9016,SideBracket for 47mm Rail;;Unknown
SávrolóKonzol2;SR-KONZOL_2;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;BP.182.RAL9016,SideBracket with Lock for 47mm Rail;;Unknown
MinitokosPálcaVégdugó_SR;MT-PVD-SR;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.235.RAL9016,EndCap for 16mm BottomRail;;Fitting
MinitokosPálcaVégdugó_ROL;MT-PVD-ROL;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.873.RAL9016,EndCap;;Fitting
NagyTokosPofa-Jobbos;SR-P-R;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.107.RAL9016,EndCap L&R for BP103;;TokVeg
NagyTokosPofa-Balos;SR-P-L;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;BP.107.RAL9016,EndCap L&R for BP103;;TokVeg
CipzárosPofa-Jobbos;NP-CP-R;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
CipzárosPofa-Balos;NP-CP-L;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
SinesPofa-Jobbos;NP-SP-R;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
SinesPofa-Balos;NP-SP-L;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
BowdenesPofa-Jobbos;NP-BP-R;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
BowdenesPofa-Balos;NP-BP-L;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
BowdenesPofa-Balos;NP-BP-L;0;;;Custom;Aluminium;Unknown;;SM;Piece;None;0;0;0;0;0;;;TokVeg
Opel csavar Ø4x13;NP-CS1;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Napháló tokfedél csavar;Csavar
Lemezcsavar SF KH Ø3.5x16;NP-CS2;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Cipzáros napháló talp csavar;Csavar
Lemezcsavar SF KH Ø3.5x31;NP-CS3;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Cipzáros napháló pofa csavar;Csavar
Lemezcsavar D KH Ø3x6;NP-CS4;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Cipzáros napháló záródugó csavar;Csavar
Lemezcsavar SF KH Ø3.5x16;NP-CS5;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Sines,Bowdenes napháló pofa csavar;Csavar

Csőtengely dugó Ø70;NP-ROLL70-D;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;Napháló csőtengely dugó Ø70;Fitting
Csőtengely dugó Ø78;NP-ROLL78-D;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;Napháló csőtengely dugó Ø78;Fitting
CipzárosZáró féldugó;NP-CZ-D;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;Cipzáros napháló záró dugó fele;Fitting
CipzárosZáró szőr;NP-CZ-K;6000;;;Custom;CM2;Plastic;;SM;Length;None;0;0;0;0;0;;;Fitting
SinesZáró dugó;NP-SZ-D;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;Sines napháló záró dugó;Fitting
BowdenesZáró dugó;NP-BZ-D;0;;;Custom;Plastic;Unknown;;SM;Piece;None;0;0;0;0;0;;Bowdenes napháló záró dugó;Fitting
BowdenFeszítő;NP-BOW-F;0;;;Custom;Steel;Unknown;;SM;Piece;None;0;0;0;0;0;;Sines,Bowdenes napháló bowden feszítője;Csavar
